Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
04/25/2015 06:00:00 AM,22,12,7,0,3
04/25/2015 07:00:00 AM,85,31,32,7,15
04/25/2015 08:00:00 AM,178,78,57,17,26
04/25/2015 09:00:00 AM,234,103,101,14,16
04/25/2015 10:00:00 AM,293,103,117,39,34
04/25/2015 11:00:00 AM,339,110,115,57,57
04/25/2015 12:00:00 PM,348,115,135,35,63
04/25/2015 01:00:00 PM,323,107,120,46,50
04/25/2015 02:00:00 PM,319,96,120,52,51
04/25/2015 03:00:00 PM,278,73,111,59,35
04/25/2015 04:00:00 PM,263,104,78,44,37
04/25/2015 05:00:00 PM,309,114,130,33,32
04/25/2015 06:00:00 PM,296,105,137,33,21
04/25/2015 07:00:00 PM,202,70,92,21,19
04/25/2015 08:00:00 PM,200,59,88,24,29
04/25/2015 09:00:00 PM,18,4,8,5,1
04/25/2015 10:00:00 PM,19,3,5,8,3
04/25/2015 11:00:00 PM,10,2,3,3,2
04/26/2015 12:00:00 AM,1,0,1,0,0
04/26/2015 01:00:00 AM,7,0,1,5,1
04/26/2015 02:00:00 AM,5,2,1,0,2
04/26/2015 03:00:00 AM,4,1,1,2,0
04/26/2015 04:00:00 AM,0,0,0,0,0
04/26/2015 05:00:00 AM,4,0,2,0,2
04/26/2015 06:00:00 AM,16,8,2,1,5
04/26/2015 07:00:00 AM,79,35,28,8,8
04/26/2015 08:00:00 AM,152,64,61,16,11
04/26/2015 09:00:00 AM,212,83,90,21,18
04/26/2015 10:00:00 AM,268,98,114,22,34
04/26/2015 11:00:00 AM,282,87,103,39,53
04/26/2015 12:00:00 PM,328,97,116,53,62
04/26/2015 01:00:00 PM,378,138,104,79,57
04/26/2015 02:00:00 PM,616,369,112,88,47
04/26/2015 03:00:00 PM,648,210,294,64,80
04/26/2015 04:00:00 PM,694,248,333,56,57
04/26/2015 05:00:00 PM,362,100,120,74,68
04/26/2015 06:00:00 PM,183,47,77,34,25
04/26/2015 07:00:00 PM,88,33,38,9,8
04/26/2015 08:00:00 PM,53,14,19,16,4
04/26/2015 09:00:00 PM,19,2,2,14,1
04/26/2015 10:00:00 PM,10,0,2,5,3
04/26/2015 11:00:00 PM,12,5,4,2,1
04/27/2015 12:00:00 AM,4,0,0,2,2
04/27/2015 01:00:00 AM,0,0,0,0,0
04/27/2015 02:00:00 AM,2,0,0,2,0
04/27/2015 03:00:00 AM,2,0,0,1,1
04/27/2015 04:00:00 AM,1,0,0,0,1
04/27/2015 05:00:00 AM,25,8,2,4,11
04/27/2015 06:00:00 AM,121,33,29,20,39
04/27/2015 07:00:00 AM,240,63,60,34,83
04/27/2015 08:00:00 AM,308,42,51,33,182
04/27/2015 09:00:00 AM,208,43,56,27,82
04/27/2015 10:00:00 AM,129,55,31,19,24
04/27/2015 11:00:00 AM,213,90,84,19,20
04/27/2015 12:00:00 PM,464,227,187,25,25
04/27/2015 01:00:00 PM,484,191,214,40,39
04/27/2015 02:00:00 PM,366,134,138,49,45
04/27/2015 03:00:00 PM,373,116,134,61,62
04/27/2015 04:00:00 PM,494,160,139,111,84
04/27/2015 05:00:00 PM,784,225,182,259,118
04/27/2015 06:00:00 PM,842,327,241,190,84
04/27/2015 07:00:00 PM,744,293,278,104,69
04/27/2015 08:00:00 PM,402,121,179,52,50
04/27/2015 09:00:00 PM,36,5,19,5,7
04/27/2015 10:00:00 PM,38,11,15,9,3
04/27/2015 11:00:00 PM,8,2,2,3,1
04/28/2015 12:00:00 AM,9,3,2,4,0
04/28/2015 01:00:00 AM,0,0,0,0,0
04/28/2015 02:00:00 AM,3,1,0,2,0
04/28/2015 03:00:00 AM,3,1,1,1,0
04/28/2015 04:00:00 AM,0,0,0,0,0
04/28/2015 05:00:00 AM,35,7,4,9,15
04/28/2015 06:00:00 AM,144,53,48,17,26
04/28/2015 07:00:00 AM,283,84,84,47,68
04/28/2015 08:00:00 AM,281,51,67,36,127
04/28/2015 09:00:00 AM,173,37,39,29,68
04/28/2015 10:00:00 AM,115,39,39,11,26
04/28/2015 11:00:00 AM,107,42,43,11,11
04/28/2015 12:00:00 PM,248,116,111,15,6
04/28/2015 01:00:00 PM,112,40,59,3,10
04/28/2015 02:00:00 PM,99,34,37,16,12
04/28/2015 03:00:00 PM,107,35,28,22,22
04/28/2015 04:00:00 PM,163,32,46,53,32
04/28/2015 05:00:00 PM,258,53,49,119,37
04/28/2015 06:00:00 PM,190,39,34,92,25
04/28/2015 07:00:00 PM,86,24,17,27,18
04/28/2015 08:00:00 PM,57,23,21,5,8
04/28/2015 09:00:00 PM,13,7,4,1,1
04/28/2015 10:00:00 PM,16,7,5,2,2
04/28/2015 11:00:00 PM,7,2,4,1,0
04/29/2015 12:00:00 AM,1,0,1,0,0
04/29/2015 01:00:00 AM,0,0,0,0,0
04/29/2015 02:00:00 AM,2,2,0,0,0
04/29/2015 03:00:00 AM,0,0,0,0,0
04/29/2015 04:00:00 AM,4,2,1,1,0
04/29/2015 05:00:00 AM,35,7,8,7,13
04/29/2015 06:00:00 AM,107,41,28,15,23
04/29/2015 07:00:00 AM,275,71,79,36,89
04/29/2015 08:00:00 AM,278,44,58,42,134
04/29/2015 09:00:00 AM,181,41,47,19,74
04/29/2015 10:00:00 AM,127,52,41,13,21
04/29/2015 11:00:00 AM,171,64,81,9,17
04/29/2015 12:00:00 PM,386,187,160,22,17
04/29/2015 01:00:00 PM,322,127,154,17,24
04/29/2015 02:00:00 PM,172,59,64,30,19
04/29/2015 03:00:00 PM,199,70,71,34,24
04/29/2015 04:00:00 PM,255,69,61,74,51
04/29/2015 05:00:00 PM,526,167,96,189,74
04/29/2015 06:00:00 PM,534,175,141,157,61
04/29/2015 07:00:00 PM,470,175,177,78,40
04/29/2015 08:00:00 PM,266,72,124,39,31
04/29/2015 09:00:00 PM,31,8,10,9,4
04/29/2015 10:00:00 PM,12,3,3,6,0
04/29/2015 11:00:00 PM,7,2,2,0,3
04/30/2015 12:00:00 AM,9,1,4,3,1
04/30/2015 01:00:00 AM,2,0,2,0,0
04/30/2015 02:00:00 AM,0,0,0,0,0
04/30/2015 03:00:00 AM,0,0,0,0,0
04/30/2015 04:00:00 AM,2,0,2,0,0
04/30/2015 05:00:00 AM,29,2,3,7,17
04/30/2015 06:00:00 AM,124,50,36,15,23
04/30/2015 07:00:00 AM,274,62,68,39,105
04/30/2015 08:00:00 AM,285,38,68,32,147
04/30/2015 09:00:00 AM,171,45,33,16,77
04/30/2015 10:00:00 AM,143,49,44,18,32
04/30/2015 11:00:00 AM,184,77,67,21,19
04/30/2015 12:00:00 PM,383,184,168,20,11
04/30/2015 01:00:00 PM,289,116,128,23,22
04/30/2015 02:00:00 PM,224,76,83,30,35
04/30/2015 03:00:00 PM,244,92,76,42,34
04/30/2015 04:00:00 PM,347,119,106,76,46
04/30/2015 05:00:00 PM,511,129,114,199,69
04/30/2015 06:00:00 PM,493,154,152,134,53
04/30/2015 07:00:00 PM,282,94,101,50,37
04/30/2015 08:00:00 PM,129,39,50,25,15
04/30/2015 09:00:00 PM,28,10,15,3,0
04/30/2015 10:00:00 PM,20,3,5,12,0
04/30/2015 11:00:00 PM,10,3,1,3,3
04/01/2016 12:00:00 AM,12,2,3,4,3
04/01/2016 01:00:00 AM,1,1,0,0,0
04/01/2016 02:00:00 AM,3,0,1,0,2
04/01/2016 03:00:00 AM,3,1,0,2,0
04/01/2016 04:00:00 AM,9,6,2,0,1
04/01/2016 05:00:00 AM,15,6,1,4,4
04/01/2016 06:00:00 AM,74,21,18,16,19
04/01/2016 07:00:00 AM,210,66,65,22,57
04/01/2016 08:00:00 AM,342,66,91,30,155
04/01/2016 09:00:00 AM,265,56,73,33,103
04/01/2016 10:00:00 AM,220,67,70,29,54
04/01/2016 11:00:00 AM,225,81,80,27,37
04/01/2016 12:00:00 PM,339,154,137,27,21
04/01/2016 01:00:00 PM,493,201,201,43,48
04/01/2016 02:00:00 PM,347,129,123,49,46
04/01/2016 03:00:00 PM,393,137,148,73,35
04/01/2016 04:00:00 PM,491,163,134,124,70
04/01/2016 05:00:00 PM,616,188,135,221,72
04/01/2016 06:00:00 PM,629,212,175,156,86
04/01/2016 07:00:00 PM,531,198,187,89,57
04/01/2016 08:00:00 PM,300,91,152,30,27
04/01/2016 09:00:00 PM,30,8,3,10,9
04/01/2016 10:00:00 PM,21,3,6,7,5
04/01/2016 11:00:00 PM,16,5,3,4,4
04/02/2016 12:00:00 AM,5,1,2,2,0
04/02/2016 01:00:00 AM,6,1,2,1,2
04/02/2016 02:00:00 AM,2,1,0,1,0
04/02/2016 03:00:00 AM,1,0,1,0,0
04/02/2016 04:00:00 AM,3,1,1,1,0
04/02/2016 05:00:00 AM,4,2,1,0,1
04/02/2016 06:00:00 AM,15,4,4,4,3
04/02/2016 07:00:00 AM,74,42,27,2,3
04/02/2016 08:00:00 AM,145,67,57,11,10
04/02/2016 09:00:00 AM,212,83,77,23,29
04/02/2016 10:00:00 AM,203,63,78,25,37
04/02/2016 11:00:00 AM,228,54,70,69,35
04/02/2016 12:00:00 PM,223,63,83,33,44
04/02/2016 01:00:00 PM,316,117,99,54,46
04/02/2016 02:00:00 PM,372,139,126,53,54
04/02/2016 03:00:00 PM,483,160,172,64,87
04/02/2016 04:00:00 PM,456,161,170,70,55
04/02/2016 05:00:00 PM,476,181,167,53,75
04/02/2016 06:00:00 PM,445,165,171,49,60
04/02/2016 07:00:00 PM,354,130,158,25,41
04/02/2016 08:00:00 PM,189,53,86,30,20
04/02/2016 09:00:00 PM,29,11,5,12,1
04/02/2016 10:00:00 PM,23,3,3,16,1
04/02/2016 11:00:00 PM,10,0,1,9,0
04/03/2016 12:00:00 AM,24,1,0,21,2
04/03/2016 01:00:00 AM,3,1,0,2,0
04/03/2016 02:00:00 AM,4,3,1,0,0
04/03/2016 03:00:00 AM,4,0,0,4,0
04/03/2016 04:00:00 AM,2,1,1,0,0
04/03/2016 05:00:00 AM,2,0,0,1,1
04/03/2016 06:00:00 AM,12,3,2,5,2
04/03/2016 07:00:00 AM,55,32,18,2,3
04/03/2016 08:00:00 AM,143,64,56,9,14
04/03/2016 09:00:00 AM,225,102,78,23,22
04/03/2016 10:00:00 AM,360,137,145,44,34
04/03/2016 11:00:00 AM,445,145,150,76,74
04/03/2016 12:00:00 PM,415,138,150,71,56
04/03/2016 01:00:00 PM,415,135,141,79,60
04/03/2016 02:00:00 PM,476,169,152,82,73
04/03/2016 03:00:00 PM,607,236,226,72,73
04/03/2016 04:00:00 PM,556,184,202,92,78
04/03/2016 05:00:00 PM,545,200,215,60,70
04/03/2016 06:00:00 PM,381,144,152,37,48
04/03/2016 07:00:00 PM,286,104,132,22,28
04/03/2016 08:00:00 PM,115,36,65,4,10
04/03/2016 09:00:00 PM,15,8,4,2,1
04/03/2016 10:00:00 PM,10,3,5,0,2
04/03/2016 11:00:00 PM,4,0,1,2,1
04/04/2016 12:00:00 AM,2,1,0,0,1
04/04/2016 01:00:00 AM,0,0,0,0,0
04/04/2016 02:00:00 AM,0,0,0,0,0
04/04/2016 03:00:00 AM,1,0,0,1,0
04/04/2016 04:00:00 AM,1,0,1,0,0
04/04/2016 05:00:00 AM,6,1,0,3,2
04/04/2016 06:00:00 AM,53,18,7,15,13
04/04/2016 07:00:00 AM,145,43,43,18,41
04/04/2016 08:00:00 AM,239,41,61,22,115
04/04/2016 09:00:00 AM,189,35,55,16,83
04/04/2016 10:00:00 AM,105,38,39,8,20
04/04/2016 11:00:00 AM,116,44,41,13,18
04/04/2016 12:00:00 PM,241,104,105,22,10
04/04/2016 01:00:00 PM,258,102,126,15,15
04/04/2016 02:00:00 PM,161,72,62,12,15
04/04/2016 03:00:00 PM,135,48,59,15,13
04/04/2016 04:00:00 PM,171,57,52,36,26
04/04/2016 05:00:00 PM,388,118,94,120,56
04/04/2016 06:00:00 PM,384,128,108,122,26
04/04/2016 07:00:00 PM,329,134,136,34,25
04/04/2016 08:00:00 PM,141,45,73,17,6
04/04/2016 09:00:00 PM,28,7,6,6,9
04/04/2016 10:00:00 PM,6,3,2,1,0
04/04/2016 11:00:00 PM,6,2,1,2,1
04/05/2016 12:00:00 AM,4,1,1,1,1
04/05/2016 01:00:00 AM,5,4,1,0,0
04/05/2016 02:00:00 AM,2,0,2,0,0
04/05/2016 03:00:00 AM,3,0,0,2,1
04/05/2016 04:00:00 AM,0,0,0,0,0
04/05/2016 05:00:00 AM,15,3,5,5,2
04/05/2016 06:00:00 AM,91,39,19,12,21
04/05/2016 07:00:00 AM,216,69,79,19,49
04/05/2016 08:00:00 AM,313,43,71,29,170
04/05/2016 09:00:00 AM,205,42,42,24,97
04/05/2016 10:00:00 AM,108,27,26,19,36
04/05/2016 11:00:00 AM,150,62,61,14,13
04/05/2016 12:00:00 PM,231,106,96,16,13
04/05/2016 01:00:00 PM,214,76,104,19,15
04/05/2016 02:00:00 PM,139,66,56,9,8
04/05/2016 03:00:00 PM,131,49,51,16,15
04/05/2016 04:00:00 PM,240,73,75,51,41
04/05/2016 05:00:00 PM,350,98,73,132,47
04/05/2016 06:00:00 PM,446,148,97,158,43
04/05/2016 07:00:00 PM,318,127,125,48,18
04/05/2016 08:00:00 PM,194,63,83,36,12
04/05/2016 09:00:00 PM,29,7,10,9,3
04/05/2016 10:00:00 PM,13,5,4,3,1
04/05/2016 11:00:00 PM,7,1,3,0,3
04/06/2016 12:00:00 AM,4,1,0,3,0
04/06/2016 01:00:00 AM,4,1,0,2,1
04/06/2016 02:00:00 AM,4,1,0,3,0
04/06/2016 03:00:00 AM,0,0,0,0,0
04/06/2016 04:00:00 AM,5,2,0,2,1
04/06/2016 05:00:00 AM,20,7,5,7,1
04/06/2016 06:00:00 AM,92,35,26,12,19
04/06/2016 07:00:00 AM,255,87,73,35,60
04/06/2016 08:00:00 AM,358,58,81,39,180
04/06/2016 09:00:00 AM,288,58,74,37,119
04/06/2016 10:00:00 AM,173,60,59,26,28
04/06/2016 11:00:00 AM,204,79,71,23,31
04/06/2016 12:00:00 PM,368,178,142,21,27
04/06/2016 01:00:00 PM,411,155,195,28,33
04/06/2016 02:00:00 PM,299,124,113,33,29
04/06/2016 03:00:00 PM,308,110,125,47,26
04/06/2016 04:00:00 PM,433,136,135,96,66
04/06/2016 05:00:00 PM,592,198,143,187,64
04/06/2016 06:00:00 PM,722,254,211,184,73
04/06/2016 07:00:00 PM,520,177,205,96,42
04/06/2016 08:00:00 PM,223,69,97,35,22
04/06/2016 09:00:00 PM,41,16,14,9,2
04/06/2016 10:00:00 PM,19,9,7,2,1
04/06/2016 11:00:00 PM,13,4,1,8,0
04/07/2016 12:00:00 AM,3,0,2,0,1
04/07/2016 01:00:00 AM,1,0,0,1,0
04/07/2016 02:00:00 AM,1,0,0,1,0
04/07/2016 03:00:00 AM,3,1,0,2,0
04/07/2016 04:00:00 AM,1,1,0,0,0
04/07/2016 05:00:00 AM,12,0,2,8,2
04/07/2016 06:00:00 AM,116,46,32,12,26
04/07/2016 07:00:00 AM,289,93,97,31,68
04/07/2016 08:00:00 AM,410,69,100,31,210
04/07/2016 09:00:00 AM,272,60,69,32,111
04/07/2016 10:00:00 AM,178,52,73,18,35
04/07/2016 11:00:00 AM,222,90,74,33,25
04/07/2016 12:00:00 PM,429,191,155,37,46
04/07/2016 01:00:00 PM,504,204,239,28,33
04/07/2016 02:00:00 PM,372,138,132,60,42
04/07/2016 03:00:00 PM,352,117,137,56,42
04/07/2016 04:00:00 PM,462,134,121,129,78
04/07/2016 05:00:00 PM,715,239,171,219,86
04/07/2016 06:00:00 PM,741,273,207,182,79
04/07/2016 07:00:00 PM,693,271,252,111,59
04/07/2016 08:00:00 PM,445,115,183,92,55
04/07/2016 09:00:00 PM,59,19,14,16,10
04/07/2016 10:00:00 PM,25,5,2,4,14
04/07/2016 11:00:00 PM,24,3,4,6,11
04/08/2016 12:00:00 AM,14,2,1,2,9
04/08/2016 01:00:00 AM,6,0,1,3,2
04/08/2016 02:00:00 AM,4,0,1,1,2
04/08/2016 03:00:00 AM,1,0,0,1,0
04/08/2016 04:00:00 AM,8,4,2,1,1
04/08/2016 05:00:00 AM,11,2,2,3,4
04/08/2016 06:00:00 AM,89,37,19,13,20
04/08/2016 07:00:00 AM,269,83,84,24,78
04/08/2016 08:00:00 AM,361,68,79,26,188
04/08/2016 09:00:00 AM,280,71,76,29,104
04/08/2016 10:00:00 AM,190,61,73,15,41
04/08/2016 11:00:00 AM,249,105,91,24,29
04/08/2016 12:00:00 PM,400,180,177,21,22
04/08/2016 01:00:00 PM,426,190,170,35,31
04/08/2016 02:00:00 PM,304,108,116,46,34
04/08/2016 03:00:00 PM,273,69,93,63,48
04/08/2016 04:00:00 PM,440,113,125,125,77
04/08/2016 05:00:00 PM,562,152,145,167,98
04/08/2016 06:00:00 PM,501,182,123,135,61
04/08/2016 07:00:00 PM,359,135,125,73,26
04/08/2016 08:00:00 PM,247,70,125,27,25
04/08/2016 09:00:00 PM,37,8,15,9,5
04/08/2016 10:00:00 PM,29,9,6,10,4
04/08/2016 11:00:00 PM,39,7,2,28,2
04/09/2016 12:00:00 AM,10,0,2,7,1
04/09/2016 01:00:00 AM,9,3,0,6,0
04/09/2016 02:00:00 AM,5,1,2,1,1
04/09/2016 03:00:00 AM,1,0,0,1,0
04/09/2016 04:00:00 AM,2,0,1,1,0
04/09/2016 05:00:00 AM,1,0,0,1,0
04/09/2016 06:00:00 AM,23,11,5,4,3
04/09/2016 07:00:00 AM,86,44,35,2,5
04/09/2016 08:00:00 AM,199,83,79,19,18
04/09/2016 09:00:00 AM,269,130,100,16,23
04/09/2016 10:00:00 AM,357,122,138,63,34
04/09/2016 11:00:00 AM,347,122,111,48,66
04/09/2016 12:00:00 PM,426,120,143,69,94
04/09/2016 01:00:00 PM,403,130,143,62,68
04/09/2016 02:00:00 PM,475,153,164,67,91
04/09/2016 03:00:00 PM,577,195,173,107,102
04/09/2016 04:00:00 PM,500,166,156,95,83
04/09/2016 05:00:00 PM,528,162,191,113,62
04/09/2016 06:00:00 PM,393,146,142,49,56
04/09/2016 07:00:00 PM,372,143,158,36,35
04/09/2016 08:00:00 PM,238,69,104,33,32
04/09/2016 09:00:00 PM,47,11,15,13,8
04/09/2016 10:00:00 PM,31,7,6,13,5
04/09/2016 11:00:00 PM,7,1,1,4,1
04/10/2016 12:00:00 AM,7,3,0,2,2
04/10/2016 01:00:00 AM,7,2,1,3,1
04/10/2016 02:00:00 AM,5,0,2,3,0
04/10/2016 03:00:00 AM,2,1,0,1,0
04/10/2016 04:00:00 AM,0,0,0,0,0
04/10/2016 05:00:00 AM,3,0,2,1,0
04/10/2016 06:00:00 AM,16,8,6,1,1
04/10/2016 07:00:00 AM,45,21,17,3,4
04/10/2016 08:00:00 AM,112,51,45,7,9
04/10/2016 09:00:00 AM,162,68,56,14,24
04/10/2016 10:00:00 AM,216,77,97,24,18
04/10/2016 11:00:00 AM,257,83,87,41,46
04/10/2016 12:00:00 PM,256,71,95,49,41
04/10/2016 01:00:00 PM,285,84,95,52,54
04/10/2016 02:00:00 PM,244,66,78,59,41
04/10/2016 03:00:00 PM,289,93,115,47,34
04/10/2016 04:00:00 PM,329,112,101,60,56
04/10/2016 05:00:00 PM,412,150,149,68,45
04/10/2016 06:00:00 PM,360,139,146,50,25
04/10/2016 07:00:00 PM,330,118,154,27,31
04/10/2016 08:00:00 PM,188,55,101,12,20
04/10/2016 09:00:00 PM,21,5,14,2,0
04/10/2016 10:00:00 PM,8,1,2,1,4
04/10/2016 11:00:00 PM,1,0,0,1,0
04/11/2016 12:00:00 AM,3,1,1,1,0
04/11/2016 01:00:00 AM,0,0,0,0,0
04/11/2016 02:00:00 AM,4,1,0,2,1
04/11/2016 03:00:00 AM,2,0,0,2,0
04/11/2016 04:00:00 AM,1,0,0,0,1
04/11/2016 05:00:00 AM,12,1,0,7,4
04/11/2016 06:00:00 AM,67,20,15,13,19
04/11/2016 07:00:00 AM,169,55,49,22,43
04/11/2016 08:00:00 AM,309,46,68,34,161
04/11/2016 09:00:00 AM,214,36,34,38,106
04/11/2016 10:00:00 AM,113,42,34,10,27
04/11/2016 11:00:00 AM,124,39,49,20,16
04/11/2016 12:00:00 PM,313,139,126,21,27
04/11/2016 01:00:00 PM,214,87,100,13,14
04/11/2016 02:00:00 PM,140,56,50,21,13
04/11/2016 03:00:00 PM,141,53,50,21,17
04/11/2016 04:00:00 PM,198,53,64,47,34
04/11/2016 05:00:00 PM,391,109,92,130,60
04/11/2016 06:00:00 PM,406,113,106,150,37
04/11/2016 07:00:00 PM,283,105,96,55,27
04/11/2016 08:00:00 PM,150,48,65,22,15
04/11/2016 09:00:00 PM,21,8,8,2,3
04/11/2016 10:00:00 PM,19,2,4,12,1
04/11/2016 11:00:00 PM,14,3,3,5,3
04/12/2016 12:00:00 AM,0,0,0,0,0
04/12/2016 01:00:00 AM,4,2,1,1,0
04/12/2016 02:00:00 AM,4,0,0,4,0
04/12/2016 03:00:00 AM,2,1,0,1,0
04/12/2016 04:00:00 AM,3,1,0,1,1
04/12/2016 05:00:00 AM,21,6,8,4,3
04/12/2016 06:00:00 AM,102,43,33,12,14
04/12/2016 07:00:00 AM,236,80,91,24,41
04/12/2016 08:00:00 AM,288,60,76,23,129
04/12/2016 09:00:00 AM,182,32,45,21,84
04/12/2016 10:00:00 AM,112,43,42,11,16
04/12/2016 11:00:00 AM,154,56,63,14,21
04/12/2016 12:00:00 PM,242,125,89,12,16
04/12/2016 01:00:00 PM,225,82,121,10,12
04/12/2016 02:00:00 PM,97,35,36,16,10
04/12/2016 03:00:00 PM,82,33,24,15,10
04/12/2016 04:00:00 PM,91,22,21,31,17
04/12/2016 05:00:00 PM,150,21,18,78,33
04/12/2016 06:00:00 PM,141,23,15,94,9
04/12/2016 07:00:00 PM,97,34,25,33,5
04/12/2016 08:00:00 PM,37,9,14,11,3
04/12/2016 09:00:00 PM,5,1,0,3,1
04/12/2016 10:00:00 PM,7,0,1,5,1
04/12/2016 11:00:00 PM,3,2,1,0,0
04/13/2016 12:00:00 AM,1,1,0,0,0
04/13/2016 01:00:00 AM,3,2,1,0,0
04/13/2016 02:00:00 AM,1,0,1,0,0
