Date,MTS Trail West of I-90 Bridge Total,Ped East,Ped West,Bike East,Bike West
04/25/2015 01:00:00 AM,3,1,2,0,0
04/25/2015 02:00:00 AM,0,0,0,0,0
04/25/2015 03:00:00 AM,0,0,0,0,0
04/25/2015 04:00:00 AM,0,0,0,0,0
04/25/2015 05:00:00 AM,0,0,0,0,0
04/25/2015 06:00:00 AM,10,1,2,2,5
04/25/2015 07:00:00 AM,22,4,8,2,8
04/25/2015 08:00:00 AM,44,3,4,12,25
04/25/2015 09:00:00 AM,98,8,13,33,44
04/25/2015 10:00:00 AM,131,8,17,47,59
04/25/2015 11:00:00 AM,194,11,32,69,82
04/25/2015 12:00:00 PM,155,15,14,64,62
04/25/2015 01:00:00 PM,139,11,16,67,45
04/25/2015 02:00:00 PM,147,14,6,75,52
04/25/2015 03:00:00 PM,110,12,6,58,34
04/25/2015 04:00:00 PM,80,12,8,33,27
04/25/2015 05:00:00 PM,90,23,11,41,15
04/25/2015 06:00:00 PM,40,13,3,16,8
04/25/2015 07:00:00 PM,22,4,2,13,3
04/25/2015 08:00:00 PM,13,1,2,5,5
04/25/2015 09:00:00 PM,1,0,0,0,1
04/25/2015 10:00:00 PM,0,0,0,0,0
04/25/2015 11:00:00 PM,1,0,0,1,0
04/26/2015 12:00:00 AM,4,2,2,0,0
04/26/2015 01:00:00 AM,3,0,0,1,2
04/26/2015 02:00:00 AM,1,0,0,0,1
04/26/2015 03:00:00 AM,3,0,0,2,1
04/26/2015 04:00:00 AM,0,0,0,0,0
04/26/2015 05:00:00 AM,1,0,0,0,1
04/26/2015 06:00:00 AM,3,0,1,1,1
04/26/2015 07:00:00 AM,18,2,3,3,10
04/26/2015 08:00:00 AM,49,1,2,12,34
04/26/2015 09:00:00 AM,159,20,18,59,62
04/26/2015 10:00:00 AM,175,10,24,64,77
04/26/2015 11:00:00 AM,208,26,15,86,81
04/26/2015 12:00:00 PM,171,13,9,91,58
04/26/2015 01:00:00 PM,142,16,11,62,53
04/26/2015 02:00:00 PM,134,15,16,63,40
04/26/2015 03:00:00 PM,134,25,13,55,41
04/26/2015 04:00:00 PM,114,22,14,49,29
04/26/2015 05:00:00 PM,92,7,8,50,27
04/26/2015 06:00:00 PM,41,3,4,27,7
04/26/2015 07:00:00 PM,23,5,2,7,9
04/26/2015 08:00:00 PM,7,0,1,3,3
04/26/2015 09:00:00 PM,5,1,1,1,2
04/26/2015 10:00:00 PM,0,0,0,0,0
04/26/2015 11:00:00 PM,0,0,0,0,0
04/27/2015 12:00:00 AM,1,0,0,1,0
04/27/2015 01:00:00 AM,1,0,0,0,1
04/27/2015 02:00:00 AM,0,0,0,0,0
04/27/2015 03:00:00 AM,2,0,0,1,1
04/27/2015 04:00:00 AM,2,0,0,2,0
04/27/2015 05:00:00 AM,9,0,0,3,6
04/27/2015 06:00:00 AM,33,1,2,24,6
04/27/2015 07:00:00 AM,64,2,8,25,29
04/27/2015 08:00:00 AM,80,3,2,45,30
04/27/2015 09:00:00 AM,52,1,8,22,21
04/27/2015 10:00:00 AM,28,1,2,16,9
04/27/2015 11:00:00 AM,33,0,2,17,14
04/27/2015 12:00:00 PM,59,10,7,19,23
04/27/2015 01:00:00 PM,46,10,6,16,14
04/27/2015 02:00:00 PM,62,13,2,26,21
04/27/2015 03:00:00 PM,89,22,16,31,20
04/27/2015 04:00:00 PM,139,42,7,61,29
04/27/2015 05:00:00 PM,185,19,12,103,51
04/27/2015 06:00:00 PM,224,24,22,111,67
04/27/2015 07:00:00 PM,143,17,17,68,41
04/27/2015 08:00:00 PM,81,10,11,40,20
04/27/2015 09:00:00 PM,13,4,2,4,3
04/27/2015 10:00:00 PM,3,1,0,1,1
04/27/2015 11:00:00 PM,6,1,1,3,1
04/28/2015 12:00:00 AM,5,1,1,2,1
04/28/2015 01:00:00 AM,1,0,0,1,0
04/28/2015 02:00:00 AM,0,0,0,0,0
04/28/2015 03:00:00 AM,0,0,0,0,0
04/28/2015 04:00:00 AM,4,1,1,2,0
04/28/2015 05:00:00 AM,12,6,0,4,2
04/28/2015 06:00:00 AM,33,5,4,12,12
04/28/2015 07:00:00 AM,75,10,13,31,21
04/28/2015 08:00:00 AM,63,4,4,26,29
04/28/2015 09:00:00 AM,54,3,8,16,27
04/28/2015 10:00:00 AM,22,2,4,8,8
04/28/2015 11:00:00 AM,26,5,0,11,10
04/28/2015 12:00:00 PM,13,1,1,8,3
04/28/2015 01:00:00 PM,6,1,0,5,0
04/28/2015 02:00:00 PM,10,2,1,3,4
04/28/2015 03:00:00 PM,10,0,2,2,6
04/28/2015 04:00:00 PM,28,2,3,16,7
04/28/2015 05:00:00 PM,64,3,3,28,30
04/28/2015 06:00:00 PM,66,4,4,33,25
04/28/2015 07:00:00 PM,36,1,2,20,13
04/28/2015 08:00:00 PM,13,2,2,4,5
04/28/2015 09:00:00 PM,2,0,1,1,0
04/28/2015 10:00:00 PM,4,1,0,2,1
04/28/2015 11:00:00 PM,2,0,0,2,0
04/29/2015 12:00:00 AM,3,0,0,2,1
04/29/2015 01:00:00 AM,0,0,0,0,0
04/29/2015 02:00:00 AM,0,0,0,0,0
04/29/2015 03:00:00 AM,1,0,0,0,1
04/29/2015 04:00:00 AM,4,1,1,2,0
04/29/2015 05:00:00 AM,14,0,2,4,8
04/29/2015 06:00:00 AM,25,4,2,12,7
04/29/2015 07:00:00 AM,58,5,7,24,22
04/29/2015 08:00:00 AM,64,3,5,26,30
04/29/2015 09:00:00 AM,47,2,6,20,19
04/29/2015 10:00:00 AM,45,15,4,16,10
04/29/2015 11:00:00 AM,35,5,9,4,17
04/29/2015 12:00:00 PM,24,3,3,10,8
04/29/2015 01:00:00 PM,45,5,9,9,22
04/29/2015 02:00:00 PM,37,11,5,13,8
04/29/2015 03:00:00 PM,41,4,4,21,12
04/29/2015 04:00:00 PM,56,6,7,16,27
04/29/2015 05:00:00 PM,141,25,32,46,38
04/29/2015 06:00:00 PM,152,11,9,77,55
04/29/2015 07:00:00 PM,95,10,10,48,27
04/29/2015 08:00:00 PM,57,8,16,22,11
04/29/2015 09:00:00 PM,36,23,7,6,0
04/29/2015 10:00:00 PM,27,20,5,2,0
04/29/2015 11:00:00 PM,0,0,0,0,0
04/30/2015 12:00:00 AM,2,0,0,2,0
04/30/2015 01:00:00 AM,0,0,0,0,0
04/30/2015 02:00:00 AM,0,0,0,0,0
04/30/2015 03:00:00 AM,0,0,0,0,0
04/30/2015 04:00:00 AM,2,1,0,1,0
04/30/2015 05:00:00 AM,6,1,2,3,0
04/30/2015 06:00:00 AM,33,1,4,18,10
04/30/2015 07:00:00 AM,80,4,7,41,28
04/30/2015 08:00:00 AM,84,8,8,33,35
04/30/2015 09:00:00 AM,71,12,4,38,17
04/30/2015 10:00:00 AM,104,53,23,14,14
04/30/2015 11:00:00 AM,64,20,20,13,11
04/30/2015 12:00:00 PM,129,66,41,9,13
04/30/2015 01:00:00 PM,166,88,60,12,6
04/30/2015 02:00:00 PM,37,11,3,11,12
04/30/2015 03:00:00 PM,120,36,39,23,22
04/30/2015 04:00:00 PM,102,23,12,30,37
04/30/2015 05:00:00 PM,155,10,12,66,67
04/30/2015 06:00:00 PM,181,15,13,83,70
04/30/2015 07:00:00 PM,163,16,18,90,39
04/30/2015 08:00:00 PM,45,5,7,21,12
04/30/2015 09:00:00 PM,5,0,1,2,2
04/30/2015 10:00:00 PM,2,0,0,1,1
04/30/2015 11:00:00 PM,3,0,1,2,0
04/01/2016 12:00:00 AM,0,0,0,0,0
04/01/2016 01:00:00 AM,0,0,0,0,0
04/01/2016 02:00:00 AM,0,0,0,0,0
04/01/2016 03:00:00 AM,0,0,0,0,0
04/01/2016 04:00:00 AM,3,0,0,2,1
04/01/2016 05:00:00 AM,16,0,2,5,9
04/01/2016 06:00:00 AM,44,4,5,20,15
04/01/2016 07:00:00 AM,91,7,13,35,36
04/01/2016 08:00:00 AM,79,11,5,43,20
04/01/2016 09:00:00 AM,39,9,3,14,13
04/01/2016 10:00:00 AM,49,7,4,15,23
04/01/2016 11:00:00 AM,48,9,9,23,7
04/01/2016 12:00:00 PM,43,4,8,13,18
04/01/2016 01:00:00 PM,73,21,7,20,25
04/01/2016 02:00:00 PM,97,18,9,32,38
04/01/2016 03:00:00 PM,139,41,9,42,47
04/01/2016 04:00:00 PM,186,58,13,64,51
04/01/2016 05:00:00 PM,179,33,17,66,63
04/01/2016 06:00:00 PM,127,11,11,58,47
04/01/2016 07:00:00 PM,55,9,4,34,8
04/01/2016 08:00:00 PM,5,1,2,1,1
04/01/2016 09:00:00 PM,3,1,1,1,0
04/01/2016 10:00:00 PM,4,2,1,0,1
04/01/2016 11:00:00 PM,3,0,0,2,1
04/02/2016 12:00:00 AM,0,0,0,0,0
04/02/2016 01:00:00 AM,0,0,0,0,0
04/02/2016 02:00:00 AM,0,0,0,0,0
04/02/2016 03:00:00 AM,0,0,0,0,0
04/02/2016 04:00:00 AM,1,0,0,0,1
04/02/2016 05:00:00 AM,1,0,0,0,1
04/02/2016 06:00:00 AM,6,1,2,1,2
04/02/2016 07:00:00 AM,23,4,4,2,13
04/02/2016 08:00:00 AM,88,9,19,17,43
04/02/2016 09:00:00 AM,124,12,17,37,58
04/02/2016 10:00:00 AM,161,17,26,52,66
04/02/2016 11:00:00 AM,177,26,19,93,39
04/02/2016 12:00:00 PM,168,14,31,68,55
04/02/2016 01:00:00 PM,127,14,17,59,37
04/02/2016 02:00:00 PM,142,15,11,62,54
04/02/2016 03:00:00 PM,158,33,18,53,54
04/02/2016 04:00:00 PM,119,33,13,48,25
04/02/2016 05:00:00 PM,128,37,20,40,31
04/02/2016 06:00:00 PM,68,18,4,26,20
04/02/2016 07:00:00 PM,29,7,8,12,2
04/02/2016 08:00:00 PM,7,1,1,2,3
04/02/2016 09:00:00 PM,5,0,0,1,4
04/02/2016 10:00:00 PM,1,0,0,0,1
04/02/2016 11:00:00 PM,4,1,2,0,1
04/03/2016 12:00:00 AM,0,0,0,0,0
04/03/2016 01:00:00 AM,1,0,0,1,0
04/03/2016 02:00:00 AM,14,4,7,2,1
04/03/2016 03:00:00 AM,2,2,0,0,0
04/03/2016 04:00:00 AM,1,0,0,0,1
04/03/2016 05:00:00 AM,4,0,0,3,1
04/03/2016 06:00:00 AM,18,1,1,15,1
04/03/2016 07:00:00 AM,18,1,1,3,13
04/03/2016 08:00:00 AM,131,3,2,26,100
04/03/2016 09:00:00 AM,214,14,30,49,121
04/03/2016 10:00:00 AM,195,13,37,63,82
04/03/2016 11:00:00 AM,186,24,27,67,68
04/03/2016 12:00:00 PM,199,25,27,87,60
04/03/2016 01:00:00 PM,152,19,16,52,65
04/03/2016 02:00:00 PM,190,49,21,64,56
04/03/2016 03:00:00 PM,182,38,13,74,57
04/03/2016 04:00:00 PM,119,24,16,57,22
04/03/2016 05:00:00 PM,80,14,9,35,22
04/03/2016 06:00:00 PM,49,12,16,13,8
04/03/2016 07:00:00 PM,28,7,5,10,6
04/03/2016 08:00:00 PM,7,2,1,4,0
04/03/2016 09:00:00 PM,4,0,0,3,1
04/03/2016 10:00:00 PM,1,0,0,1,0
04/03/2016 11:00:00 PM,0,0,0,0,0
04/04/2016 12:00:00 AM,0,0,0,0,0
04/04/2016 01:00:00 AM,0,0,0,0,0
04/04/2016 02:00:00 AM,0,0,0,0,0
04/04/2016 03:00:00 AM,0,0,0,0,0
04/04/2016 04:00:00 AM,3,0,0,2,1
04/04/2016 05:00:00 AM,12,5,3,2,2
04/04/2016 06:00:00 AM,12,0,0,8,4
04/04/2016 07:00:00 AM,62,4,6,37,15
04/04/2016 08:00:00 AM,43,3,3,21,16
04/04/2016 09:00:00 AM,33,7,6,12,8
04/04/2016 10:00:00 AM,20,6,3,3,8
04/04/2016 11:00:00 AM,24,3,6,9,6
04/04/2016 12:00:00 PM,20,3,2,8,7
04/04/2016 01:00:00 PM,25,7,9,4,5
04/04/2016 02:00:00 PM,24,6,0,12,6
04/04/2016 03:00:00 PM,24,2,2,6,14
04/04/2016 04:00:00 PM,45,13,4,9,19
04/04/2016 05:00:00 PM,83,11,11,34,27
04/04/2016 06:00:00 PM,59,8,8,20,23
04/04/2016 07:00:00 PM,27,5,3,12,7
04/04/2016 08:00:00 PM,12,1,1,7,3
04/04/2016 09:00:00 PM,4,1,1,1,1
04/04/2016 10:00:00 PM,1,1,0,0,0
04/04/2016 11:00:00 PM,1,0,0,0,1
04/05/2016 12:00:00 AM,1,0,0,0,1
04/05/2016 01:00:00 AM,0,0,0,0,0
04/05/2016 02:00:00 AM,1,0,1,0,0
04/05/2016 03:00:00 AM,3,0,1,0,2
04/05/2016 04:00:00 AM,3,0,0,2,1
04/05/2016 05:00:00 AM,17,2,2,6,7
04/05/2016 06:00:00 AM,33,2,1,18,12
04/05/2016 07:00:00 AM,88,8,10,41,29
04/05/2016 08:00:00 AM,58,8,4,20,26
04/05/2016 09:00:00 AM,33,2,1,18,12
04/05/2016 10:00:00 AM,24,2,3,11,8
04/05/2016 11:00:00 AM,11,0,1,6,4
04/05/2016 12:00:00 PM,15,2,3,2,8
04/05/2016 01:00:00 PM,18,1,2,5,10
04/05/2016 02:00:00 PM,20,2,2,7,9
04/05/2016 03:00:00 PM,33,1,3,14,15
04/05/2016 04:00:00 PM,61,2,7,19,33
04/05/2016 05:00:00 PM,122,7,13,51,51
04/05/2016 06:00:00 PM,98,7,12,50,29
04/05/2016 07:00:00 PM,58,4,2,38,14
04/05/2016 08:00:00 PM,8,3,0,4,1
04/05/2016 09:00:00 PM,5,0,0,1,4
04/05/2016 10:00:00 PM,3,0,0,1,2
04/05/2016 11:00:00 PM,0,0,0,0,0
04/06/2016 12:00:00 AM,0,0,0,0,0
04/06/2016 01:00:00 AM,0,0,0,0,0
04/06/2016 02:00:00 AM,0,0,0,0,0
04/06/2016 03:00:00 AM,0,0,0,0,0
04/06/2016 04:00:00 AM,4,0,0,2,2
04/06/2016 05:00:00 AM,9,0,0,5,4
04/06/2016 06:00:00 AM,39,1,3,21,14
04/06/2016 07:00:00 AM,90,7,8,43,32
04/06/2016 08:00:00 AM,86,10,14,31,31
04/06/2016 09:00:00 AM,45,6,1,22,16
04/06/2016 10:00:00 AM,27,2,7,9,9
04/06/2016 11:00:00 AM,51,5,10,13,23
04/06/2016 12:00:00 PM,59,8,4,31,16
04/06/2016 01:00:00 PM,44,2,2,23,17
04/06/2016 02:00:00 PM,52,3,4,18,27
04/06/2016 03:00:00 PM,74,12,5,27,30
04/06/2016 04:00:00 PM,138,28,18,36,56
04/06/2016 05:00:00 PM,236,58,20,79,79
04/06/2016 06:00:00 PM,184,24,28,70,62
04/06/2016 07:00:00 PM,78,9,3,54,12
04/06/2016 08:00:00 PM,12,2,1,5,4
04/06/2016 09:00:00 PM,10,2,0,5,3
04/06/2016 10:00:00 PM,5,1,3,1,0
04/06/2016 11:00:00 PM,2,1,0,1,0
04/07/2016 12:00:00 AM,0,0,0,0,0
04/07/2016 01:00:00 AM,4,2,2,0,0
04/07/2016 02:00:00 AM,0,0,0,0,0
04/07/2016 03:00:00 AM,0,0,0,0,0
04/07/2016 04:00:00 AM,2,0,0,2,0
04/07/2016 05:00:00 AM,17,4,2,9,2
04/07/2016 06:00:00 AM,49,9,4,20,16
04/07/2016 07:00:00 AM,99,8,10,46,35
04/07/2016 08:00:00 AM,102,12,9,44,37
04/07/2016 09:00:00 AM,38,4,4,18,12
04/07/2016 10:00:00 AM,65,5,7,25,28
04/07/2016 11:00:00 AM,72,9,7,42,14
04/07/2016 12:00:00 PM,58,2,3,28,25
04/07/2016 01:00:00 PM,56,4,6,31,15
04/07/2016 02:00:00 PM,69,8,5,26,30
04/07/2016 03:00:00 PM,103,11,11,32,49
04/07/2016 04:00:00 PM,132,15,10,56,51
04/07/2016 05:00:00 PM,252,19,13,135,85
04/07/2016 06:00:00 PM,238,18,31,97,92
04/07/2016 07:00:00 PM,123,23,18,56,26
04/07/2016 08:00:00 PM,29,4,8,7,10
04/07/2016 09:00:00 PM,6,0,0,3,3
04/07/2016 10:00:00 PM,0,0,0,0,0
04/07/2016 11:00:00 PM,1,0,0,0,1
04/08/2016 12:00:00 AM,0,0,0,0,0
04/08/2016 01:00:00 AM,0,0,0,0,0
04/08/2016 02:00:00 AM,3,0,2,0,1
04/08/2016 03:00:00 AM,0,0,0,0,0
04/08/2016 04:00:00 AM,3,1,0,1,1
04/08/2016 05:00:00 AM,16,0,3,6,7
04/08/2016 06:00:00 AM,42,2,5,21,14
04/08/2016 07:00:00 AM,104,8,15,49,32
04/08/2016 08:00:00 AM,92,7,10,44,31
04/08/2016 09:00:00 AM,55,5,9,25,16
04/08/2016 10:00:00 AM,61,14,8,17,22
04/08/2016 11:00:00 AM,57,2,3,22,30
04/08/2016 12:00:00 PM,59,8,6,24,21
04/08/2016 01:00:00 PM,67,12,6,31,18
04/08/2016 02:00:00 PM,97,38,3,26,30
04/08/2016 03:00:00 PM,114,43,8,34,29
04/08/2016 04:00:00 PM,152,32,12,59,49
04/08/2016 05:00:00 PM,168,20,18,71,59
04/08/2016 06:00:00 PM,91,8,12,40,31
04/08/2016 07:00:00 PM,41,4,1,23,13
04/08/2016 08:00:00 PM,6,0,0,4,2
04/08/2016 09:00:00 PM,4,0,0,3,1
04/08/2016 10:00:00 PM,4,1,0,3,0
04/08/2016 11:00:00 PM,2,0,2,0,0
04/09/2016 12:00:00 AM,1,0,1,0,0
04/09/2016 01:00:00 AM,0,0,0,0,0
04/09/2016 02:00:00 AM,0,0,0,0,0
04/09/2016 03:00:00 AM,1,0,0,0,1
04/09/2016 04:00:00 AM,2,0,0,1,1
04/09/2016 05:00:00 AM,2,0,1,0,1
04/09/2016 06:00:00 AM,8,0,1,2,5
04/09/2016 07:00:00 AM,23,5,6,4,8
04/09/2016 08:00:00 AM,99,9,15,28,47
04/09/2016 09:00:00 AM,124,17,19,35,53
04/09/2016 10:00:00 AM,200,33,30,71,66
04/09/2016 11:00:00 AM,223,23,25,91,84
04/09/2016 12:00:00 PM,186,16,21,96,53
04/09/2016 01:00:00 PM,175,22,15,93,45
04/09/2016 02:00:00 PM,181,23,16,79,63
04/09/2016 03:00:00 PM,150,26,12,65,47
04/09/2016 04:00:00 PM,151,27,16,68,40
04/09/2016 05:00:00 PM,84,15,6,43,20
04/09/2016 06:00:00 PM,53,9,6,22,16
04/09/2016 07:00:00 PM,37,12,5,11,9
04/09/2016 08:00:00 PM,18,7,4,6,1
04/09/2016 09:00:00 PM,3,1,1,1,0
04/09/2016 10:00:00 PM,0,0,0,0,0
04/09/2016 11:00:00 PM,1,0,0,1,0
04/10/2016 12:00:00 AM,0,0,0,0,0
04/10/2016 01:00:00 AM,0,0,0,0,0
04/10/2016 02:00:00 AM,0,0,0,0,0
04/10/2016 03:00:00 AM,0,0,0,0,0
04/10/2016 04:00:00 AM,0,0,0,0,0
04/10/2016 05:00:00 AM,0,0,0,0,0
04/10/2016 06:00:00 AM,8,2,3,2,1
04/10/2016 07:00:00 AM,25,4,2,5,14
04/10/2016 08:00:00 AM,75,5,9,15,46
04/10/2016 09:00:00 AM,109,7,14,35,53
04/10/2016 10:00:00 AM,134,16,13,53,52
04/10/2016 11:00:00 AM,153,12,22,72,47
04/10/2016 12:00:00 PM,156,16,20,70,50
04/10/2016 01:00:00 PM,125,19,8,54,44
04/10/2016 02:00:00 PM,122,12,13,60,37
04/10/2016 03:00:00 PM,112,8,14,56,34
04/10/2016 04:00:00 PM,88,11,9,45,23
04/10/2016 05:00:00 PM,73,7,14,36,16
04/10/2016 06:00:00 PM,41,11,10,17,3
04/10/2016 07:00:00 PM,25,6,2,11,6
04/10/2016 08:00:00 PM,9,1,1,4,3
04/10/2016 09:00:00 PM,2,1,1,0,0
04/10/2016 10:00:00 PM,2,1,0,1,0
04/10/2016 11:00:00 PM,9,5,4,0,0
04/11/2016 12:00:00 AM,2,1,1,0,0
04/11/2016 01:00:00 AM,1,0,0,0,1
04/11/2016 02:00:00 AM,0,0,0,0,0
04/11/2016 03:00:00 AM,0,0,0,0,0
04/11/2016 04:00:00 AM,5,1,0,2,2
04/11/2016 05:00:00 AM,17,2,2,8,5
04/11/2016 06:00:00 AM,24,2,0,10,12
04/11/2016 07:00:00 AM,77,3,3,42,29
04/11/2016 08:00:00 AM,68,7,7,30,24
04/11/2016 09:00:00 AM,34,4,5,15,10
04/11/2016 10:00:00 AM,25,1,4,13,7
04/11/2016 11:00:00 AM,20,4,4,4,8
04/11/2016 12:00:00 PM,32,8,6,7,11
04/11/2016 01:00:00 PM,17,1,2,4,10
04/11/2016 02:00:00 PM,25,2,1,15,7
04/11/2016 03:00:00 PM,39,4,3,16,16
04/11/2016 04:00:00 PM,62,0,10,14,38
04/11/2016 05:00:00 PM,102,6,13,52,31
04/11/2016 06:00:00 PM,82,12,12,32,26
04/11/2016 07:00:00 PM,46,10,5,20,11
04/11/2016 08:00:00 PM,9,2,0,3,4
04/11/2016 09:00:00 PM,7,1,3,2,1
04/11/2016 10:00:00 PM,4,1,1,0,2
04/11/2016 11:00:00 PM,1,0,0,0,1
04/12/2016 12:00:00 AM,0,0,0,0,0
04/12/2016 01:00:00 AM,0,0,0,0,0
04/12/2016 02:00:00 AM,0,0,0,0,0
04/12/2016 03:00:00 AM,2,0,0,2,0
04/12/2016 04:00:00 AM,1,0,0,1,0
04/12/2016 05:00:00 AM,13,4,5,1,3
04/12/2016 06:00:00 AM,23,3,3,9,8
04/12/2016 07:00:00 AM,61,6,8,22,25
04/12/2016 08:00:00 AM,46,0,3,20,23
04/12/2016 09:00:00 AM,24,4,2,10,8
04/12/2016 10:00:00 AM,24,2,4,10,8
04/12/2016 11:00:00 AM,19,2,1,8,8
04/12/2016 12:00:00 PM,15,0,3,8,4
04/12/2016 01:00:00 PM,14,3,2,7,2
04/12/2016 02:00:00 PM,8,0,1,7,0
04/12/2016 03:00:00 PM,9,3,1,3,2
04/12/2016 04:00:00 PM,28,2,2,10,14
04/12/2016 05:00:00 PM,39,2,2,15,20
04/12/2016 06:00:00 PM,42,1,2,23,16
04/12/2016 07:00:00 PM,14,2,1,8,3
04/12/2016 08:00:00 PM,6,2,2,1,1
04/12/2016 09:00:00 PM,5,0,0,4,1
04/12/2016 10:00:00 PM,1,0,0,0,1
